id,latitude,longitude,location,elevation,countrie_id,created_at,updated_at
2,10.8292,-73.6923,"Sierra Nevada de Santa Marta, San Lorenzo ridge",1.64,1,2021-10-09,2021-10-09
3,37.09,-95.712,NA,259,65,2021-10-09,2021-10-09
4,-0.6333,-76.1333,"Tiputini Biodiversity Station, Orellana  Province",267,58,2021-10-09,2021-10-09
5,35.5241,-107.35,"Nuevo Mexico, Mesa Chivato",2.421,65,2021-10-09,2021-10-09
6,4.61667,-73.7167,"PNN Chingaza, Estacion Monte Redondo",3.1,1,2021-10-09,2021-10-09
7,4.71667,-75.45,"PNN Los Nevados, El Bosque",3.3,1,2021-10-09,2021-10-09
